Generating tablized rouge results from
input file: "results/D2_rouge_scores.out"
local time: 2018-04-23 20:38:32 

note: printing 'average' lines for table validation

0002: avg_line: "9 ROUGE-1 Average_R: 0.16196 (95%-conf.int. 0.14369 - 0.18084)"
0003: avg_line: "9 ROUGE-1 Average_P: 0.20005 (95%-conf.int. 0.17837 - 0.22189)"
0004: avg_line: "9 ROUGE-1 Average_F: 0.17844 (95%-conf.int. 0.15857 - 0.19836)"
0053: avg_line: "9 ROUGE-2 Average_R: 0.03677 (95%-conf.int. 0.02824 - 0.04584)"
0054: avg_line: "9 ROUGE-2 Average_P: 0.04512 (95%-conf.int. 0.03454 - 0.05606)"
0055: avg_line: "9 ROUGE-2 Average_F: 0.04039 (95%-conf.int. 0.03094 - 0.05021)"
0104: avg_line: "9 ROUGE-3 Average_R: 0.01115 (95%-conf.int. 0.00763 - 0.01516)"
0105: avg_line: "9 ROUGE-3 Average_P: 0.01391 (95%-conf.int. 0.00949 - 0.01899)"
0106: avg_line: "9 ROUGE-3 Average_F: 0.01234 (95%-conf.int. 0.00847 - 0.01679)"
0155: avg_line: "9 ROUGE-4 Average_R: 0.00279 (95%-conf.int. 0.00129 - 0.00452)"
0156: avg_line: "9 ROUGE-4 Average_P: 0.00348 (95%-conf.int. 0.00163 - 0.00552)"
0157: avg_line: "9 ROUGE-4 Average_F: 0.00309 (95%-conf.int. 0.00143 - 0.00496)"

--- Averages ---
,Averages,a.ROUGE,b.PREC,c.F-SCORE
,D1030-A.M.100.F.9,0.0,0.0,0.0
,D1031-A.M.100.F.9,0.0249,0.02778,0.02626
,D1032-A.M.100.F.9,0.0814,0.1117,0.09417
,D1033-A.M.100.F.9,0.01681,0.01818,0.01747
,D1034-A.M.100.F.9,0.0,0.0,0.0
,D1035-A.M.100.G.9,0.03306,0.04,0.0362
,D1036-A.M.100.G.9,0.00415,0.00625,0.00499
,D1037-A.M.100.G.9,0.03774,0.04082,0.03922
,D1038-A.M.100.G.9,0.04382,0.06111,0.05104
,D1039-A.M.100.G.9,0.04979,0.0625,0.05543
,D1040-A.M.100.G.9,0.06494,0.06696,0.06593
,D1041-A.M.100.H.9,0.016,0.01961,0.01762
,D1042-A.M.100.H.9,0.08219,0.09375,0.08759
,D1043-A.M.100.H.9,0.12069,0.14894,0.13334
,D1044-A.M.100.H.9,0.03004,0.04487,0.03599
,D1045-A.M.100.H.9,0.024,0.03125,0.02715
,D1046-A.M.100.H.9,0.016,0.01961,0.01762
----------------

--- ROUGE-3 ---
,ROUGE-3,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.01702,0.02128,0.01891
,D1002-A.M.100.A.9,0.02597,0.03,0.02784
,D1003-A.M.100.A.9,0.0,0.0,0.0
,D1004-A.M.100.A.9,0.00427,0.00472,0.00448
,D1005-A.M.100.A.9,0.01695,0.01887,0.01786
,D1006-A.M.100.A.9,0.0,0.0,0.0
,D1007-A.M.100.B.9,0.00922,0.01042,0.00978
,D1008-A.M.100.B.9,0.00417,0.0051,0.00459
,D1009-A.M.100.B.9,0.00459,0.00532,0.00493
,D1010-A.M.100.B.9,0.03719,0.04688,0.04148
,D1011-A.M.100.C.9,0.0,0.0,0.0
,D1012-A.M.100.C.9,0.01261,0.015,0.0137
,D1013-A.M.100.C.9,0.0,0.0,0.0
,D1014-A.M.100.C.9,0.00866,0.01,0.00928
,D1015-A.M.100.C.9,0.02335,0.03846,0.02906
,D1016-A.M.100.C.9,0.0093,0.0102,0.00973
,D1017-A.M.100.D.9,0.00844,0.0125,0.01008
,D1018-A.M.100.D.9,0.0,0.0,0.0
,D1019-A.M.100.D.9,0.00862,0.0119,0.01
,D1020-A.M.100.D.9,0.00427,0.00595,0.00497
,D1021-A.M.100.D.9,0.00439,0.00658,0.00527
,D1022-A.M.100.D.9,0.02165,0.02976,0.02507
,D1023-A.M.100.E.9,0.0,0.0,0.0
,D1024-A.M.100.E.9,0.0,0.0,0.0
,D1025-A.M.100.E.9,0.0,0.0,0.0
,D1026-A.M.100.E.9,0.00442,0.00446,0.00444
,D1027-A.M.100.E.9,0.02869,0.03302,0.0307
,D1028-A.M.100.E.9,0.0431,0.04902,0.04587
,D1029-A.M.100.F.9,0.00862,0.0098,0.00917
,D1030-A.M.100.F.9,0.0,0.0,0.0
,D1031-A.M.100.F.9,0.00844,0.00943,0.00891
,D1032-A.M.100.F.9,0.03543,0.04891,0.04109
